iter	Passed	Remaining
0	132	132406
1	134	66994
2	135	45123
3	137	34232
4	139	27732
5	140	23321
6	142	20182
7	144	17890
8	145	16053
9	147	14627
10	149	13417
11	151	12441
12	152	11574
13	153	10837
14	155	10225
15	157	9657
16	158	9153
17	159	8709
18	160	8289
19	161	7929
20	162	7597
21	163	7286
22	164	6997
23	165	6722
24	165	6472
25	166	6239
26	167	6026
27	167	5825
28	168	5640
29	169	5465
30	169	5302
31	170	5147
32	170	5001
33	171	4865
34	171	4734
35	172	4612
36	172	4496
37	173	4386
38	173	4284
39	174	4188
40	175	4097
41	175	4012
42	176	3927
43	177	3848
44	177	3773
45	178	3699
46	178	3626
47	179	3557
48	179	3491
49	180	3427
50	180	3367
51	181	3308
52	182	3252
53	182	3197
54	183	3144
55	183	3094
56	184	3045
57	184	2997
58	185	2952
59	185	2908
60	186	2865
61	186	2824
62	187	2784
63	187	2746
64	188	2709
65	188	2674
66	189	2638
67	189	2600
68	190	2566
69	190	2533
70	191	2501
71	191	2470
72	192	2440
73	192	2411
74	193	2383
75	193	2355
76	194	2328
77	194	2302
78	195	2276
79	195	2251
80	196	2226
81	196	2202
82	197	2179
83	197	2157
84	198	2132
85	198	2111
86	198	2087
87	199	2067
88	199	2047
89	200	2027
90	200	2007
91	201	1988
92	201	1969
93	202	1951
94	202	1933
95	203	1917
96	204	1900
97	204	1883
98	205	1867
99	205	1851
100	206	1836
101	206	1818
102	207	1802
103	207	1788
104	208	1773
105	208	1759
106	209	1745
107	209	1731
108	210	1717
109	210	1704
110	211	1691
111	211	1678
112	212	1665
113	212	1653
114	213	1640
115	213	1627
116	214	1615
117	214	1604
118	215	1591
119	215	1580
120	216	1569
121	216	1558
122	216	1546
123	217	1536
124	218	1526
125	218	1516
126	219	1506
127	219	1494
128	219	1485
129	220	1475
130	220	1466
131	221	1456
132	222	1447
133	222	1438
134	223	1429
135	223	1420
136	224	1411
137	224	1402
138	225	1394
139	225	1385
140	226	1377
141	226	1369
142	227	1360
143	227	1352
144	228	1344
145	228	1337
146	229	1329
147	229	1321
148	230	1314
149	230	1307
150	231	1300
151	231	1293
152	232	1286
153	232	1279
154	233	1272
155	233	1265
156	234	1258
157	234	1251
158	235	1244
159	235	1238
160	236	1232
161	236	1225
162	237	1219
163	237	1212
164	238	1206
165	238	1200
166	239	1194
167	239	1188
168	240	1182
169	241	1176
170	241	1171
171	242	1165
172	242	1160
173	243	1154
174	243	1148
175	244	1143
176	244	1138
177	245	1132
178	245	1127
179	246	1122
180	246	1115
181	247	1110
182	247	1105
183	248	1100
184	248	1095
185	249	1091
186	249	1086
187	250	1081
188	250	1077
189	251	1072
190	251	1067
191	252	1062
192	253	1057
193	253	1053
194	254	1048
195	254	1044
196	255	1039
197	255	1034
198	255	1030
199	256	1026
200	257	1021
201	257	1017
202	258	1013
203	258	1008
204	259	1004
205	259	1000
206	260	996
207	261	995
208	261	991
209	262	987
210	262	983
211	263	979
212	263	975
213	264	971
214	264	967
215	265	963
216	265	959
217	266	955
218	266	952
219	267	948
220	268	944
221	268	940
222	269	937
223	269	933
224	270	930
