iter	Passed	Remaining
0	146	145984
1	147	73704
2	149	49687
3	151	37700
4	152	30377
5	154	25532
6	155	22064
7	157	19468
8	158	17456
9	159	15836
10	160	14472
11	161	13319
12	163	12431
13	165	11631
14	166	10905
15	166	10251
16	167	9692
17	168	9192
18	169	8767
19	170	8376
20	172	8037
21	173	7702
22	174	7402
23	175	7123
24	175	6861
25	176	6616
26	177	6392
27	178	6184
28	178	5989
29	179	5805
30	180	5633
31	180	5471
32	181	5321
33	182	5179
34	182	5044
35	183	4913
36	184	4796
37	184	4681
38	185	4570
39	186	4465
40	186	4369
41	187	4282
42	188	4196
43	189	4108
44	189	4026
45	190	3948
46	190	3870
47	191	3799
48	192	3730
49	192	3663
50	193	3598
51	193	3536
52	194	3477
53	195	3418
54	195	3362
55	196	3309
56	196	3257
57	197	3207
58	198	3158
59	198	3111
60	199	3066
61	199	3024
62	200	2984
63	201	2943
64	201	2904
65	202	2868
66	203	2834
67	204	2800
68	205	2766
69	205	2731
70	206	2698
71	206	2666
72	207	2634
73	208	2603
74	208	2573
75	209	2543
76	209	2515
77	210	2487
78	210	2459
79	211	2431
80	211	2404
81	212	2378
82	212	2350
83	213	2326
84	214	2303
85	214	2279
86	215	2257
87	215	2236
88	216	2214
89	217	2194
90	217	2175
91	218	2155
92	219	2135
93	219	2116
94	220	2097
95	220	2079
96	221	2061
97	221	2042
98	222	2025
99	223	2007
100	223	1990
101	224	1974
102	224	1958
103	225	1942
104	225	1926
105	226	1909
106	227	1895
107	227	1880
108	228	1865
109	228	1851
110	229	1838
111	230	1824
112	230	1810
113	231	1798
114	232	1786
115	232	1773
116	233	1759
117	233	1747
118	234	1734
119	234	1722
120	235	1710
121	235	1697
122	236	1685
123	236	1674
124	237	1662
125	238	1651
126	238	1639
127	239	1628
128	239	1618
129	240	1607
130	240	1596
131	241	1586
132	241	1576
133	242	1566
134	242	1556
135	243	1547
136	244	1538
137	244	1529
138	245	1521
139	246	1512
140	247	1505
141	247	1495
142	248	1487
143	248	1479
144	249	1470
145	250	1463
146	250	1454
147	251	1446
148	251	1438
149	252	1430
150	253	1423
151	253	1415
152	254	1407
153	254	1400
154	255	1392
155	256	1385
156	256	1377
157	257	1370
158	257	1364
159	258	1357
160	258	1349
161	259	1342
162	260	1335
163	260	1328
164	261	1321
165	262	1316
166	262	1310
167	263	1304
168	264	1298
169	264	1292
170	265	1286
171	266	1281
172	266	1275
173	267	1270
174	268	1264
175	269	1259
